complaint_text,category,subcategory,department
My accommodation request for religious observance was denied without reason. I work at Desert Oil Exploration in the shipping industry.,Discrimination,Disability discrimination,Chief Commissioner for Persons with Disabilities
I receive lower wages than local workers for the same job. I have been working as a marketing specialist for 5 years. This is happening in our Varanasi branch/office/factory.,Migrant Worker Issues,Displacement allowance issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
There is no access to clean drinking water in our factory premises. I work at Coastal Shipping in the entertainment industry. I have been working as a electrician for 6 years.,Unsafe Working Conditions,Unhygienic facilities,Municipal Corporation Health Department
I was asked inappropriate questions about my family planning during the interview. I work at Canyon Minerals in the textile industry. This is happening in our Shillong branch/office/factory. I am a migrant worker from a different state.,Discrimination,Gender discrimination,Ministry of Women and Child Development
I'm forced to work overtime without my consent or extra payment. I work at Canyon Minerals in the retail industry. I have been working as a marketing specialist for 4.5 years. I am a person with physical disability.,Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
I face discrimination because I don't speak the local language fluently. I work at Prairie Food Processing in the textile industry. I have been working as a HR coordinator for 2 years. Our cultural and dietary needs are ignored creating difficulties.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
"During summer, the temperature exceeds 45°C with no cooling systems. I work at CopperTech Engineering in the retail industry. This is happening in our Patna branch/office/factory. When inspections occur, the company temporarily improves conditions.",Unsafe Working Conditions,Unhygienic facilities,Municipal Corporation Health Department
"During COVID-19 lockdown, we were abandoned without any support. This is happening in our Tiruchirappalli branch/office/factory. I am a contractual worker hoping for permanent employment. We are charged excessive fees for transportation to work sites.",Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
I was denied maternity leave and benefits after pregnancy announcement. I work at Savannah Agriculture in the construction industry. This is happening in our Agra branch/office/factory. Workers who demand their rights are often terminated.,Labor Rights Violations,Forced resignation,Ministry of Labour and Employment - Industrial Relations Division
"During COVID-19 lockdown, we were abandoned without any support. I work at Starway Hotels in the real estate industry. I have been working as a driver for 1 years. I recently relocated to this city for this job. We pay excessive rates for basic accommodations provided by the employer.",Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
"After project completion, the company refused to arrange transportation back to our home state. I work at Bluestar Chemicals in the insurance industry. I have been working as a administrative assistant for 7 years. This is happening in our Vijayawada branch/office/factory.",Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
